price,volume,hour,date,side
206552.64,0.00002437,1,2019-09-03,buy
207401.00,0.00482158,1,2019-09-03,sell
207401.00,0.00704500,1,2019-09-03,sell
206685.29,0.00200000,1,2019-09-03,buy
206685.34,0.00249100,1,2019-09-03,buy
206694.17,0.00002435,1,2019-09-03,buy
207400.00,0.00009643,1,2019-09-03,sell
207400.00,0.00044480,1,2019-09-03,sell
207401.00,0.02890465,1,2019-09-03,sell
208395.00,0.00300000,1,2019-09-03,sell
208411.00,0.01000000,1,2019-09-03,sell
208498.00,0.02759968,1,2019-09-03,sell
208499.97,0.02335363,1,2019-09-03,sell
206704.71,0.00002435,1,2019-09-03,buy
208496.97,0.00009573,1,2019-09-03,sell
206739.97,0.00002435,1,2019-09-03,buy
208487.79,0.00024118,1,2019-09-03,sell
208487.90,0.00001819,1,2019-09-03,sell
207000.00,0.09950000,1,2019-09-03,sell
206748.80,0.00658365,1,2019-09-03,buy
206757.61,0.00073024,1,2019-09-03,buy
206757.61,0.00291819,1,2019-09-03,buy
206775.25,0.10104499,1,2019-09-03,buy
206775.31,0.00142271,1,2019-09-03,buy
206775.32,0.04307457,1,2019-09-03,buy
206775.34,0.04640000,1,2019-09-03,buy
206775.33,0.06203440,1,2019-09-03,buy
208364.19,0.00002400,1,2019-09-03,sell
206775.40,0.00131431,1,2019-09-03,buy
206775.42,0.01786932,1,2019-09-03,buy
208358.17,0.00014398,1,2019-09-03,sell
206775.41,0.18144490,1,2019-09-03,buy
206801.85,0.04640000,1,2019-09-03,buy
208301.74,0.00787319,1,2019-09-03,sell
208301.71,0.00048007,1,2019-09-03,sell
206683.66,0.02453490,1,2019-09-03,buy
208292.86,0.00024005,1,2019-09-03,sell
206692.47,0.00544325,1,2019-09-03,buy
208000.00,0.00128059,1,2019-09-03,sell
207997.07,0.00034441,1,2019-09-03,sell
208000.00,0.00044231,1,2019-09-03,sell
208000.00,0.00024038,1,2019-09-03,sell
206750.01,0.01755701,1,2019-09-03,buy
207991.05,0.00480790,1,2019-09-03,sell
206750.00,0.00401786,1,2019-09-03,buy
206750.01,0.00009138,1,2019-09-03,buy
206750.00,0.01532918,1,2019-09-03,buy
206666.00,0.00024482,1,2019-09-03,buy
206666.00,0.10862650,1,2019-09-03,buy
206000.02,0.05735296,1,2019-09-03,buy
206355.00,0.00786014,1,2019-09-03,buy
207973.24,0.00024041,1,2019-09-03,sell
206017.96,0.00024429,1,2019-09-03,buy
206026.98,0.00543269,1,2019-09-03,buy
206026.98,0.00596998,1,2019-09-03,buy
207899.72,0.00700578,1,2019-09-03,sell
206071.36,0.00004323,1,2019-09-03,buy
206088.95,0.08877938,1,2019-09-03,buy
206089.01,0.73613030,1,2019-09-03,buy
207423.00,0.00238674,1,2019-09-03,sell
207720.10,0.00040855,1,2019-09-03,sell
207423.00,0.00761326,1,2019-09-03,sell
207722.70,0.01302443,1,2019-09-03,sell
207722.70,0.00024071,1,2019-09-03,sell
206133.13,0.00009766,1,2019-09-03,buy
206133.16,0.00058596,1,2019-09-03,buy
207722.47,0.00144423,1,2019-09-03,sell
207700.00,0.00048146,1,2019-09-03,sell
207700.00,0.00007703,1,2019-09-03,sell
206177.37,0.29548000,1,2019-09-03,buy
206177.37,0.04652000,1,2019-09-03,buy
207700.00,0.00004815,1,2019-09-03,sell
206195.10,0.00059596,1,2019-09-03,buy
207700.00,0.00002407,1,2019-09-03,sell
