Date,24h Average,12h Average,Last,Volume (BTC)
2014-04-15,6762.23,6864.03,7500.0,10.54
2014-04-16,6900.09,6892.85,7128.84,11.77
2014-04-17,7126.44,6917.98,6985.55,5.76
2014-04-18,6909.36,6874.22,6679.72,3.7
2014-04-19,6889.9,6889.71,7041.87,1.53
2014-04-20,6966.22,6950.73,6917.2,2.64
2014-04-21,6837.56,6767.9,6850.11,4.01
2014-04-22,6800.8,6767.22,6827.42,15.6
2014-04-23,6710.96,6651.25,6829.96,10.22
2014-04-24,6881.33,6849.45,6876.05,7.1
2014-04-25,6215.48,6146.58,7277.72,13.85
2014-04-26,6683.85,6847.15,6754.2,4.77
2014-04-27,6474.25,6364.36,6205.12,4.19
2014-04-28,5961.84,5899.08,6842.07,15.56
2014-04-30,6180.77168057,6249.27649567,6792.8,14.01
2014-05-01,6255.22746216,6291.62939185,6354.88,21.01
2014-05-02,6169.39974537,6081.39889095,6217.34,13.74
2014-05-05,5984.26545721,5987.68255535,6800.0,3.0
2014-05-06,5739.56353632,5691.28524221,5861.4,13.03
2014-05-07,5884.75152041,5870.07838095,6063.45,10.47
2014-05-08,6092.0045898,6092.3766225,5983.22,5.38
2014-05-10,6248.93602586,6514.49287508,6111.83,3.13
2014-05-11,5969.95605761,5941.03914715,5944.34,2.82
2014-05-12,5706.21647611,5677.60794411,5943.55,9.86
2014-05-13,5962.22958295,5892.74413539,6041.4,10.72
2014-05-14,5778.91557232,5758.04428977,7029.11,14.08
2014-05-15,6110.28727717,6177.37352679,5716.96,7.73
2014-05-16,5923.70541403,5866.22658809,6267.44,7.6
2014-05-19,5819.34091559,5819.34091559,6002.43,10.52
2014-05-20,6325.10714567,6446.2310502,6663.96,9.96
2014-05-21,6515.25166485,6497.20867463,6632.88,9.26
2014-05-22,6686.21538349,6694.79101472,6983.67,9.0
2014-05-23,6899.8546845,6874.50789055,7012.02,12.83
2014-05-24,6942.17763371,6892.38456085,6881.05,9.56
2014-05-25,6975.26814668,7121.99292972,7584.71,4.1
2014-05-26,7597.23957452,7603.35428897,7621.12,7.93
2014-05-27,7728.69419215,7719.27256484,7626.23,10.39
2014-05-28,7597.62019579,7603.16340902,7547.47,33.82
2014-05-29,7504.8533254,7510.25154451,7538.28,31.47
2014-05-31,8229.3855911,8301.79201683,8357.87,3.34
2014-06-02,8462.69969314,8454.46966812,9813.18,10.4
2014-06-03,8944.28908232,9021.97560215,9223.39,6.53
2014-06-04,8713.31480878,8630.97955324,8700.3,13.47
