price,volume,hour,date,side
201000.00,0.00032517,21,2019-09-09,sell
201999.97,0.00091682,21,2019-09-09,sell
201000.00,0.00276887,21,2019-09-09,sell
201999.97,0.00163366,21,2019-09-09,sell
201996.96,0.00231390,21,2019-09-09,sell
201997.04,0.00412341,21,2019-09-09,sell
201999.97,0.01876719,21,2019-09-09,sell
200778.17,0.09962916,21,2019-09-09,buy
200781.20,0.00250657,21,2019-09-09,buy
201996.97,0.00002475,21,2019-09-09,sell
200824.19,0.00002907,21,2019-09-09,buy
201350.00,0.00446487,21,2019-09-09,buy
200824.22,0.00805359,21,2019-09-09,buy
200827.30,0.00390935,21,2019-09-09,buy
200833.44,0.00092938,21,2019-09-09,buy
201350.00,0.00002483,21,2019-09-09,sell
201350.00,0.00293520,21,2019-09-09,sell
201350.00,0.00315997,21,2019-09-09,sell
201999.97,0.00229673,21,2019-09-09,sell
200857.89,0.01253000,21,2019-09-09,buy
200866.92,0.00727492,21,2019-09-09,buy
201996.96,0.00542024,21,2019-09-09,sell
201997.04,0.00794629,21,2019-09-09,sell
201999.97,0.00134158,21,2019-09-09,sell
200879.12,0.04122216,21,2019-09-09,buy
200882.10,0.02085542,21,2019-09-09,buy
201997.04,0.01141833,21,2019-09-09,sell
201996.96,0.00648190,21,2019-09-09,sell
201999.97,0.00536736,21,2019-09-09,sell
201996.96,0.00049506,21,2019-09-09,sell
201999.97,0.00124752,21,2019-09-09,sell
200927.52,0.02402456,21,2019-09-09,buy
200927.54,0.02597544,21,2019-09-09,buy
200939.66,0.00828758,21,2019-09-09,buy
202000.00,0.00123762,21,2019-09-09,sell
200951.03,0.00100178,21,2019-09-09,buy
202000.00,0.07277228,21,2019-09-09,sell
202000.00,0.01237624,21,2019-09-09,sell
200951.23,0.00185654,21,2019-09-09,buy
201999.97,0.00247525,21,2019-09-09,sell
201999.97,0.02227723,21,2019-09-09,sell
200951.67,0.07330498,21,2019-09-09,buy
200952.00,0.01000000,21,2019-09-09,sell
200952.20,0.04900000,21,2019-09-09,buy
201996.94,0.00024753,21,2019-09-09,sell
201996.99,0.00408821,21,2019-09-09,sell
201997.07,0.00482281,21,2019-09-09,sell
200953.23,0.00098221,21,2019-09-09,buy
200953.31,0.00297688,21,2019-09-09,buy
201996.99,0.00344584,21,2019-09-09,sell
201997.04,0.00610521,21,2019-09-09,sell
202000.00,0.00530058,21,2019-09-09,sell
201996.99,0.00280369,21,2019-09-09,sell
201997.07,0.00498147,21,2019-09-09,sell
202000.00,0.09370010,21,2019-09-09,sell
200954.36,0.02287170,21,2019-09-09,buy
201900.08,0.09811640,21,2019-09-09,sell
201900.08,0.00039624,21,2019-09-09,sell
201900.08,0.00049530,21,2019-09-09,sell
202000.00,0.00148368,21,2019-09-09,sell
201900.08,0.00099206,21,2019-09-09,sell
201999.97,0.02475248,21,2019-09-09,sell
202000.00,0.00032817,21,2019-09-09,sell
200956.21,0.00100176,21,2019-09-09,buy
202000.00,0.00173267,21,2019-09-09,sell
202000.00,0.00138614,21,2019-09-09,sell
202000.00,0.01980198,21,2019-09-09,sell
201700.02,0.02207779,21,2019-09-09,buy
201700.02,0.00730000,21,2019-09-09,buy
201900.00,0.00010054,21,2019-09-09,buy
202000.00,0.02132969,21,2019-09-09,sell
202500.00,0.00057058,21,2019-09-09,sell
201900.00,0.00936335,21,2019-09-09,buy
202500.00,0.00660650,21,2019-09-09,sell
202849.94,0.00425035,21,2019-09-09,sell
202500.00,0.00517679,21,2019-09-09,buy
202700.00,0.00140838,21,2019-09-09,buy
202844.75,2.44929041,21,2019-09-09,sell
202700.00,0.04965676,21,2019-09-09,buy
200960.67,0.00678734,21,2019-09-09,buy
202700.00,0.00320226,21,2019-09-09,buy
202839.83,0.00295800,21,2019-09-09,sell
202839.80,0.01479000,21,2019-09-09,sell
202839.31,0.24157053,21,2019-09-09,sell
201218.24,0.00751000,21,2019-09-09,buy
201236.49,0.00027000,21,2019-09-09,buy
202820.00,0.00493049,21,2019-09-09,sell
202836.06,0.00217956,21,2019-09-09,sell
202836.14,0.00388924,21,2019-09-09,sell
202837.42,0.01365146,21,2019-09-09,sell
202834.52,0.00320975,21,2019-09-09,sell
202834.44,0.00179129,21,2019-09-09,sell
202837.45,0.00387313,21,2019-09-09,sell
202750.00,0.10471612,21,2019-09-09,buy
202836.06,0.00046136,21,2019-09-09,sell
200973.12,0.00400668,21,2019-09-09,buy
202835.00,0.58103439,21,2019-09-09,buy
202835.00,1.26366872,21,2019-09-09,buy
202835.00,0.47641786,21,2019-09-09,buy
202835.00,0.03822925,21,2019-09-09,buy
203900.58,0.01761181,0,2019-09-10,sell
203900.58,0.02162300,0,2019-09-10,sell
203900.40,0.00203488,0,2019-09-10,sell
203900.39,0.00643538,0,2019-09-10,sell
203900.40,0.00954880,0,2019-09-10,sell
203900.42,0.06401652,0,2019-09-10,sell
202200.02,0.00043661,0,2019-09-10,buy
203849.06,0.00049056,0,2019-09-10,sell
203849.07,0.01618845,0,2019-09-10,sell
202201.00,0.01992000,0,2019-09-10,buy
203749.86,0.00282069,0,2019-09-10,sell
203749.87,0.00003870,0,2019-09-10,sell
203749.70,0.00166790,0,2019-09-10,sell
203749.53,0.00042334,0,2019-09-10,sell
203749.38,0.00042005,0,2019-09-10,sell
202200.02,0.01912358,0,2019-09-10,buy
202201.00,0.00208781,0,2019-09-10,buy
202200.02,0.00778861,0,2019-09-10,buy
203599.56,0.00020133,0,2019-09-10,sell
203599.52,0.00028865,0,2019-09-10,sell
204199.34,0.11531911,0,2019-09-10,sell
204199.34,0.00711028,0,2019-09-10,sell
203599.21,0.02668213,0,2019-09-10,buy
202203.37,0.00500000,0,2019-09-10,buy
202235.42,0.02471577,0,2019-09-10,sell
202235.42,0.00032300,0,2019-09-10,sell
202200.07,0.00125222,0,2019-09-10,buy
202200.07,0.00025000,0,2019-09-10,buy
202200.09,0.00500000,0,2019-09-10,buy
203300.00,0.00067902,0,2019-09-10,sell
202235.42,0.01932098,0,2019-09-10,sell
203300.00,0.00423982,0,2019-09-10,sell
203799.45,0.00291730,0,2019-09-10,sell
202224.26,0.00044797,0,2019-09-10,buy
203708.93,0.00003191,0,2019-09-10,sell
203000.00,0.00143498,0,2019-09-10,sell
202242.62,0.00572345,0,2019-09-10,buy
203000.00,0.00024631,0,2019-09-10,sell
202242.57,0.00098900,0,2019-09-10,buy
203000.00,0.00444562,0,2019-09-10,sell
202999.00,0.00300000,0,2019-09-10,buy
203709.01,0.00178406,0,2019-09-10,sell
203000.00,0.00067276,0,2019-09-10,sell
202999.00,0.00147853,0,2019-09-10,buy
202999.00,0.01500000,0,2019-09-10,buy
203500.00,0.02329500,0,2019-09-10,buy
203500.00,0.00800000,0,2019-09-10,buy
203500.00,0.00218489,0,2019-09-10,buy
