12h_avg,24h_avg,date,m_side,max,min,volume
5948.0,6114.941176470588,2014-04-07,buy,6420.0,5880.0,0.0
6040.0,6040.0,2014-04-08,sell,6080.0,6000.0,0.0
6006.625,6016.7,2014-04-09,sell,6057.0,5999.0,1.0
5873.2,5552.041666666668,2014-04-10,sell,5969.0,4550.0,2.0
5266.0,5454.117647058823,2014-04-11,sell,5700.0,5251.0,2.0
5567.166666666668,5581.210526315788,2014-04-12,sell,5705.0,5475.0,2.0
5526.0,5400.2,2014-04-13,buy,5526.0,5100.0,0.0
5588.736842105262,5691.060606060605,2014-04-14,sell,5900.0,5100.0,0.0
6040.478260869565,6180.263157894738,2014-04-15,sell,6450.0,5898.0,0.0
6487.75,6630.540540540541,2014-04-16,sell,6798.0,6450.0,0.0
6729.7857142857165,6676.461538461538,2014-04-17,buy,6795.0,6610.0,0.0
6634.8,6593.2857142857165,2014-04-18,buy,6638.0,6500.0,0.0
6159.125,6252.78125,2014-04-19,sell,6798.0,5898.0,0.0
,6637.818181818182,2014-04-20,sell,6655.0,6580.0,0.0
6725.833333333332,6745.384615384615,2014-04-21,sell,6800.0,6650.0,0.0
,6720.636363636364,2014-04-22,buy,6750.0,6680.0,1.0
,6692.142857142857,2014-04-23,buy,6795.0,6600.0,0.0
6534.666666666668,6628.3076923076915,2014-04-24,buy,6789.0,6404.0,0.0
6499.5,6340.8076923076915,2014-04-25,sell,6699.0,6014.0,0.0
6084.821428571428,6113.947368421053,2014-04-26,sell,6340.0,6014.0,0.0
6134.4,6116.88,2014-04-27,sell,6195.0,5995.0,0.0
5980.846153846153,6047.954545454545,2014-04-28,sell,6318.0,5813.0,0.0
6128.142857142857,6015.363636363636,2014-04-29,sell,6290.0,5860.0,1.0
6039.166666666668,6035.173913043478,2014-04-30,sell,6064.0,5990.0,2.0
6024.333333333332,6032.9534883720935,2014-05-01,sell,6048.0,6005.0,1.0
,6069.5,2014-05-02,sell,6180.0,5925.0,2.0
5880.0,5839.625,2014-05-03,buy,5929.0,5720.0,3.0
5865.576923076923,5878.463414634146,2014-05-04,sell,5928.0,5650.0,1.0
,5751.739130434783,2014-05-05,sell,5928.0,5650.0,1.0
5613.5,5667.125,2014-05-06,buy,5920.0,5546.0,1.0
5646.5,5743.609756097561,2014-05-07,sell,5865.0,5545.0,1.0
5827.368421052632,5781.106382978725,2014-05-08,sell,5870.0,5651.0,2.0
5790.0,5971.162162162162,2014-05-09,sell,6109.0,5790.0,6.0
5949.428571428572,5937.0,2014-05-10,sell,5994.0,5850.0,0.0
5920.75,5920.75,2014-05-11,sell,5970.0,5858.0,2.0
5822.545454545455,5806.813953488371,2014-05-12,sell,5900.0,5650.0,3.0
5795.0,5788.038461538462,2014-05-13,sell,5900.0,5629.0,0.0
5745.083333333332,5810.257142857144,2014-05-14,buy,5895.0,5699.0,1.0
5894.0,5885.289473684212,2014-05-15,sell,5950.0,5743.0,1.0
5930.0,5909.5,2014-05-16,sell,5930.0,5800.0,1.0
5847.08695652174,5847.71875,2014-05-17,buy,5904.0,5799.0,1.0
5800.0,5787.857142857143,2014-05-18,buy,5804.0,5742.0,0.0
